Date,Open,High,Low,Close,Adj Close,Volume
2020-01-21,79.297501,79.754997,79.000000,79.142502,77.984116,110843200
2020-01-22,79.644997,79.997498,79.327499,79.425003,78.262489,101832400
2020-01-23,79.480003,79.889999,78.912498,79.807503,78.639389,104472000
2020-01-24,80.062500,80.832497,79.379997,79.577499,78.412743,146537600
2020-01-27,77.514999,77.942497,76.220001,77.237503,76.107002,161940000
2020-01-28,78.150002,79.599998,78.047501,79.422501,78.260017,162234000
2020-01-29,81.112503,81.962502,80.345001,81.084999,79.898201,216229200
2020-01-30,80.135002,81.022499,79.687500,80.967499,79.782402,126743200
2020-01-31,80.232498,80.669998,77.072502,77.377502,76.244957,199588400
2020-02-03,76.074997,78.372498,75.555000,77.165001,76.035561,173788400
2020-02-04,78.827499,79.910004,78.407501,79.712502,78.545776,136616400
2020-02-05,80.879997,81.190002,79.737503,80.362503,79.186264,118826800
2020-02-06,80.642502,81.305000,80.065002,81.302498,80.112495,105425600
2020-02-07,80.592499,80.849998,79.500000,80.007500,79.023560,117684000
2020-02-10,78.544998,80.387497,78.462502,80.387497,79.398872,109348800
2020-02-11,80.900002,80.974998,79.677498,79.902496,78.919846,94323200
2020-02-12,80.367500,81.805000,80.367500,81.800003,80.794022,113730400
2020-02-13,81.047501,81.555000,80.837502,81.217499,80.218681,94747600
2020-02-14,81.184998,81.495003,80.712502,81.237503,80.238449,80113600
2020-02-18,78.839996,79.937500,78.652496,79.750000,78.769234,152531200
2020-02-19,80.000000,81.142502,80.000000,80.904999,79.910034,93984000
